"Round","ID","Guess","Avg.Guess","Earnings","Cumulative_earnings","OtherID(s)"
1,1,20,29.37,5,5,"all_others"
1,2,10,29.37,0,0,"all_others"
1,3,50,29.37,0,0,"all_others"
1,4,31,29.37,0,0,"all_others"
1,5,34,29.37,0,0,"all_others"
1,6,22,29.37,0,0,"all_others"
1,7,"*.**","*.**","*.**","*.**","all_others"
1,8,14.81,29.37,0,0,"all_others"
1,9,27,29.37,0,0,"all_others"
1,10,23,29.37,0,0,"all_others"
1,11,20,29.37,5,5,"all_others"
1,12,69,29.37,0,0,"all_others"
1,13,33,29.37,0,0,"all_others"
1,14,28.01,29.37,0,0,"all_others"
1,15,"*.**",29.37,0,0,"all_others"
1,16,"*.**","*.**","*.**","*.**","all_others"
1,17,"*.**","*.**","*.**","*.**","all_others"
1,18,"*.**","*.**","*.**","*.**","all_others"
1,19,"*.**","*.**","*.**","*.**","all_others"
1,20,"*.**","*.**","*.**","*.**","all_others"
1,21,"*.**","*.**","*.**","*.**","all_others"
1,22,"*.**","*.**","*.**","*.**","all_others"
1,23,"*.**","*.**","*.**","*.**","all_others"
1,24,"*.**","*.**","*.**","*.**","all_others"
1,25,"*.**","*.**","*.**","*.**","all_others"
1,26,"*.**","*.**","*.**","*.**","all_others"
1,27,"*.**","*.**","*.**","*.**","all_others"
1,28,"*.**","*.**","*.**","*.**","all_others"
1,29,"*.**","*.**","*.**","*.**","all_others"
1,30,"*.**","*.**","*.**","*.**","all_others"
2,1,14,26.07,0,5,"all_others"
2,2,10,26.07,0,0,"all_others"
2,3,33,26.07,0,0,"all_others"
2,4,47,26.07,0,0,"all_others"
2,5,24,26.07,0,0,"all_others"
2,6,9,26.07,0,0,"all_others"
2,7,"*.**","*.**","*.**","*.**","all_others"
2,8,22.0923,26.07,0,0,"all_others"
2,9,15,26.07,10,10,"all_others"
2,10,14,26.07,0,0,"all_others"
2,11,25,26.07,0,5,"all_others"
2,12,24,26.07,0,0,"all_others"
2,13,13,26.07,0,0,"all_others"
2,14,88.88,26.07,0,0,"all_others"
2,15,"*.**",26.07,0,0,"all_others"
2,16,"*.**","*.**","*.**","*.**","all_others"
2,17,"*.**","*.**","*.**","*.**","all_others"
2,18,"*.**","*.**","*.**","*.**","all_others"
2,19,"*.**","*.**","*.**","*.**","all_others"
2,20,"*.**","*.**","*.**","*.**","all_others"
2,21,"*.**","*.**","*.**","*.**","all_others"
2,22,"*.**","*.**","*.**","*.**","all_others"
2,23,"*.**","*.**","*.**","*.**","all_others"
2,24,"*.**","*.**","*.**","*.**","all_others"
2,25,"*.**","*.**","*.**","*.**","all_others"
2,26,"*.**","*.**","*.**","*.**","all_others"
2,27,"*.**","*.**","*.**","*.**","all_others"
2,28,"*.**","*.**","*.**","*.**","all_others"
2,29,"*.**","*.**","*.**","*.**","all_others"
2,30,"*.**","*.**","*.**","*.**","all_others"
3,1,14,29.54,0,5,"all_others"
3,2,15,29.54,0,0,"all_others"
3,3,100,29.54,0,0,"all_others"
3,4,16,29.54,0,0,"all_others"
3,5,19,29.54,10,10,"all_others"
3,6,"*.**","*.**","*.**","*.**","all_others"
3,7,"*.**","*.**","*.**","*.**","all_others"
3,8,24.08,29.54,0,0,"all_others"
3,9,18,29.54,0,10,"all_others"
3,10,14,29.54,0,0,"all_others"
3,11,24,29.54,0,5,"all_others"
3,12,23,29.54,0,0,"all_others"
3,13,16,29.54,0,0,"all_others"
3,14,100,29.54,0,0,"all_others"
3,15,1,29.54,0,0,"all_others"
3,16,"*.**","*.**","*.**","*.**","all_others"
3,17,"*.**","*.**","*.**","*.**","all_others"
3,18,"*.**","*.**","*.**","*.**","all_others"
3,19,"*.**","*.**","*.**","*.**","all_others"
3,20,"*.**","*.**","*.**","*.**","all_others"
3,21,"*.**","*.**","*.**","*.**","all_others"
3,22,"*.**","*.**","*.**","*.**","all_others"
3,23,"*.**","*.**","*.**","*.**","all_others"
3,24,"*.**","*.**","*.**","*.**","all_others"
3,25,"*.**","*.**","*.**","*.**","all_others"
3,26,"*.**","*.**","*.**","*.**","all_others"
3,27,"*.**","*.**","*.**","*.**","all_others"
3,28,"*.**","*.**","*.**","*.**","all_others"
3,29,"*.**","*.**","*.**","*.**","all_others"
3,30,"*.**","*.**","*.**","*.**","all_others"
